34.6760 	EXP 	New trial (rep=35, index=0): None
34.7310 	DATA 	Keypress: right
34.7457 	EXP 	image_trial: autoDraw = False
34.7457 	EXP 	image_trial: image = 'imgs/3.jpg'
34.7457 	EXP 	image_trial: autoDraw = True
35.4976 	EXP 	New trial (rep=36, index=0): None
35.5521 	DATA 	Keypress: right
35.5685 	EXP 	image_trial: autoDraw = False
35.5685 	EXP 	image_trial: image = 'imgs/1.jpg'
35.5685 	EXP 	image_trial: autoDraw = True
36.1620 	EXP 	New trial (rep=37, index=0): None
36.5627 	DATA 	Keypress: right
36.5868 	EXP 	image_trial: autoDraw = False
36.5868 	EXP 	image_trial: image = 'imgs/2.jpg'
36.5868 	EXP 	image_trial: autoDraw = True
36.9809 	EXP 	New trial (rep=38, index=0): None
37.0333 	DATA 	Keypress: right
37.0956 	EXP 	image_trial: autoDraw = False
37.0956 	EXP 	image_trial: image = 'imgs/3.jpg'
37.0956 	EXP 	image_trial: autoDraw = True
37.6472 	EXP 	New trial (rep=39, index=0): None
37.7127 	DATA 	Keypress: right
37.7293 	EXP 	image_trial: autoDraw = False
37.7293 	EXP 	image_trial: image = 'imgs/1.jpg'
37.7293 	EXP 	image_trial: autoDraw = True
38.2284 	EXP 	New trial (rep=40, index=0): None
38.6240 	DATA 	Keypress: right
38.6473 	EXP 	image_trial: autoDraw = False
38.6473 	EXP 	image_trial: image = 'imgs/2.jpg'
38.6473 	EXP 	image_trial: autoDraw = True
39.1608 	EXP 	New trial (rep=41, index=0): None
39.2134 	DATA 	Keypress: right
39.2306 	EXP 	image_trial: autoDraw = False
39.2306 	EXP 	image_trial: image = 'imgs/3.jpg'
39.2306 	EXP 	image_trial: autoDraw = True
39.9281 	EXP 	New trial (rep=42, index=0): None
39.9809 	DATA 	Keypress: right
39.9973 	EXP 	image_trial: autoDraw = False
39.9973 	EXP 	image_trial: image = 'imgs/1.jpg'
39.9973 	EXP 	image_trial: autoDraw = True
41.5154 	EXP 	New trial (rep=43, index=0): None
41.9100 	DATA 	Keypress: right
41.9141 	DATA 	Keypress: right
41.9362 	EXP 	image_trial: autoDraw = False
41.9362 	EXP 	image_trial: image = 'imgs/2.jpg'
41.9362 	EXP 	image_trial: autoDraw = True
44.0154 	EXP 	New trial (rep=44, index=0): None
44.0671 	DATA 	Keypress: right
44.0824 	EXP 	image_trial: autoDraw = False
44.0824 	EXP 	image_trial: image = 'imgs/3.jpg'
44.0824 	EXP 	image_trial: autoDraw = True
46.3498 	EXP 	New trial (rep=45, index=0): None
46.4030 	DATA 	Keypress: right
46.4191 	EXP 	image_trial: autoDraw = False
46.4191 	EXP 	image_trial: image = 'imgs/1.jpg'
46.4191 	EXP 	image_trial: autoDraw = True
48.9171 	EXP 	New trial (rep=46, index=0): None
49.3116 	DATA 	Keypress: right
49.3386 	EXP 	image_trial: autoDraw = False
49.3386 	EXP 	image_trial: image = 'imgs/2.jpg'
49.3386 	EXP 	image_trial: autoDraw = True
50.2669 	EXP 	New trial (rep=47, index=0): None
50.3184 	DATA 	Keypress: right
50.3352 	EXP 	image_trial: autoDraw = False
50.3352 	EXP 	image_trial: image = 'imgs/3.jpg'
50.3352 	EXP 	image_trial: autoDraw = True
53.8029 	EXP 	New trial (rep=48, index=0): None
53.8561 	DATA 	Keypress: right
53.8719 	EXP 	image_trial: autoDraw = False
53.8719 	EXP 	image_trial: image = 'imgs/1.jpg'
53.8719 	EXP 	image_trial: autoDraw = True
54.6854 	EXP 	New trial (rep=49, index=0): None
55.0804 	DATA 	Keypress: right
